Dry1zoneOP_Avg,Dry2zoneOP_Avg,Salttemp2Zone_Avg,DefectiveStage
69.49772615,20.31046284570548,332.71247392027027,Stability
68.77670040310541,16.547671539011645,332.09365844281876,Danger
73.50291334274903,21.218347243511165,332.40726136785895,Stability
68.06251347296603,4.3664977496138215,332.2615676032573,Stability
68.82029930126438,19.902113421903223,332.50306852822314,Stability
71.93332154225038,21.904305425226475,332.4037922008811,Stability
69.24048442334298,19.070116584077475,332.1767853100239,Danger
68.88060629655905,18.768533437093534,332.5208251976775,Stability
69.13582093975569,19.53509147487507,332.4824634020515,Stability
69.07264375852661,22.50339341518872,332.4924060177549,Stability
70.55346480744748,22.182835948970933,332.69289017080416,Stability
64.60587381739573,16.088287263479145,332.08442243133265,Danger
68.45191202028026,20.215322472009017,332.55231304133514,Danger
70.50458872,24.639218792808897,332.5990230858169,Stability
69.53657955655625,18.29824221747316,332.22925267134787,Stability
71.05406964055449,18.840702902159897,332.3724552780686,Danger
70.87149219537632,18.662549665391968,332.1140898661568,Danger
69.23284955347299,18.067834168136713,331.8528336273429,Stability
70.5423976,19.89916712109911,332.32312646339346,Stability
70.52554764757092,21.248398381222184,332.4264227065849,Stability
70.90914446239718,23.452174405111634,332.64831159641295,Danger
70.73899785464098,21.93960026667728,332.70596605199313,Stability
69.99180898272434,16.868627715560528,332.08861757394976,Stability
69.79791862389787,22.478884712328565,332.5039233876057,Stability
69.13071199729349,19.831247563075888,332.52054378939107,Stability
70.25394702798717,19.101046557707303,332.70700108309507,Stability
71.92551780694173,19.549908195423736,332.4404236,Stability
65.73965493104554,21.545067636505774,332.3601755672057,Stability
68.59613450061435,24.036076875548538,332.0903868702826,Stability
72.58865312,20.663013769128586,332.1087692481403,Danger
69.76355104260989,22.58249827945199,332.31573968060275,Danger
69.34838815279677,23.23180554774928,332.0255291901132,Stability
69.58451631,18.50643717335546,332.80447055512246,Stability
73.32886178835895,22.591391760888605,328.94564455768773,Stability
69.97934542998745,21.871606131139767,332.4900605504473,Stability
70.17666545763181,23.976559031386405,332.75113163225797,Stability
69.24677880811582,19.360898754842985,332.75595492701774,Stability
72.23564277,18.602562909617266,328.92415102639296,Stability
68.63146706317886,18.80291714191754,332.5227687535494,Stability
71.46681695162941,19.305044116371963,332.2704269909279,Stability
73.20318195662206,23.659397425011537,329.49516529615073,Stability
69.39563138635904,23.21401862983202,332.3714956486541,Danger
68.92838645615866,20.731245408402923,332.1482142938908,Danger
71.63218597876414,23.782408598943192,332.66743215276296,Stability
73.31347734080904,22.52232218615754,332.5287566336331,Stability
69.45965604428163,23.02185544730557,332.7338066314712,Stability
70.27513157390996,18.658904083421955,332.2535172171839,Stability
67.85087015990862,20.004685160543183,332.0545337584872,Danger
69.71880781828264,17.836625443986353,332.16246575880655,Stability
68.44629129035849,19.504619645391852,332.56491959229896,Danger
68.92047982501023,19.304510582275892,332.54075411891114,Danger
70.70028270464861,21.90930901805186,332.7647466270152,Stability
69.79902943474512,17.91392877707727,332.1257072878747,Stability
72.63021084080185,19.26661469443543,332.1957691040268,Stability
68.78687128854709,17.44593620108573,332.1744234861463,Danger
69.03282327141582,5.232417731,332.3190043138751,Stability
69.68703394439352,17.942251660556064,332.6881743581392,Stability
73.61238095224624,21.973322247651918,329.6114467536601,Stability
67.72176442712721,23.140906753720863,332.0585649885397,Stability
66.90485728,20.760795695909444,331.6696786,Stability
68.96335691896489,21.98584807192322,332.38237719557264,Stability
70.14941443580504,20.875234585119163,332.79658977811494,Danger
71.16829772897897,26.201103966466466,332.2036406216691,Stability
68.75370827,23.938277606353203,331.9462245799579,Stability
70.45279998473285,25.87734049359228,332.4831248950013,Stability
69.78081487994235,21.84878421561563,332.37456370144815,Danger
69.83356992628087,22.034911674161442,332.7524784147998,Danger
70.95666671787718,23.20968906529835,332.4750327440247,Danger
70.15346358871257,22.70690381237883,332.75400845097715,Stability
68.66159686895011,19.467601148548027,332.4901979,Danger
70.25984278475592,23.523142146731374,331.8688656865544,Stability
70.38904994687579,23.19264119504174,332.8405148494814,Stability
63.11382191802859,12.710300810606435,331.6508857141946,Stability
63.64341327695928,21.91331776857583,331.90839313631477,Stability
71.34371396060621,23.355332645505257,332.79464544315033,Stability
68.81299473897619,19.845464443487074,332.5271350228079,Stability
69.95822579051384,22.87050399817574,332.54481073274553,Danger
68.16417152648717,22.13613617382596,332.37358856060547,Stability
69.76304729729729,22.736779997324057,332.10530739898314,Stability
67.99356989459389,20.263691337299534,332.26893771256044,Stability
69.89793750305144,20.76410160592851,332.29374049258934,Stability
69.39377449,23.534613108061514,332.18753714337817,Stability
71.23579614955551,25.113717925745163,332.53027671256757,Stability
69.62077094789609,22.03303464377943,332.21330745051785,Stability
69.89503512427395,22.161157053221668,332.3547039375929,Stability
69.36509797620488,23.655971447899788,332.2914561265205,Danger
72.38254933000395,24.467155226216377,332.56576241099685,Danger
72.77464766,21.865150910260535,329.11454347834984,Stability
68.54434116475771,21.08937914889868,332.1916797356828,Stability
67.18758544303076,19.45681971421324,332.3771640581891,Stability
74.46501588785047,31.344609112149534,332.5867336448598,Stability
71.38960228892765,24.025129297991157,332.6388752,Stability
67.77697644623713,21.574189657502743,332.06332491242966,Stability
71.03889682269504,19.339755431627374,332.4448605795689,Stability
68.20929863734679,17.749368223143478,332.3972742926211,Danger
70.34369022279158,20.734253245968713,332.1654055169235,Stability
68.05611941909315,20.10496327249022,332.60476549279423,Danger
69.43808103503568,21.35236739998396,332.7459383869157,Stability
70.00386960370776,19.49939443680675,332.5591692183513,Stability
