r,z,pressure,ne
209.6693831,105.2118909,2.9997,2.33E+15
20.45454545,105.1845182,2.9997,2.75E+16
203.1770579,105.0809154,2.9997,3.57E+15
27.27272727,105.0808367,2.9997,2.88E+16
34.09090909,105.010024,2.9997,2.94E+16
40.90909091,104.9806709,2.9997,2.96E+16
196.6482968,104.9796101,2.9997,4.88E+15
47.72727273,104.9728368,2.9997,2.97E+16
54.54545455,104.9698535,2.9997,2.97E+16
183.4970704,104.9695008,2.9997,7.87E+15
61.36363636,104.9672186,2.9997,2.95E+16
176.8494995,104.9664358,2.9997,9.48E+15
68.18181818,104.9659957,2.9997,2.94E+16
75,104.9657141,2.9997,2.90E+16
81.81818182,104.9656896,2.9997,2.86E+16
88.63636221,104.9656324,2.9997,2.81E+16
95.45452881,104.9655408,2.9997,2.74E+16
102.2726255,104.9654529,2.9997,2.65E+16
109.0904763,104.9653767,2.9997,2.55E+16
115.907651,104.9653176,2.9997,2.43E+16
122.7232813,104.965273,2.9997,2.29E+16
129.535861,104.9652245,2.9997,2.15E+16
136.3430871,104.9651368,2.9997,1.98E+16
143.1417916,104.9649511,2.9997,1.81E+16
149.9279919,104.9646055,2.9997,1.64E+16
156.6970428,104.9640874,2.9997,1.46E+16
163.4438463,104.9635302,2.9997,1.28E+16
170.1630574,104.9633709,2.9997,1.11E+16
190.0947187,104.956497,2.9997,6.36E+15
5.277939828,104.2292593,2.9997,3.56E+16
26.388413,104.143458,2.9997,3.73E+16
12.14567834,104.0967709,2.9997,3.76E+16
33.26797918,104.0618825,2.9997,3.80E+16
19.60642418,103.942648,2.9997,3.87E+16
46.72078404,103.8374791,2.9997,4.00E+16
39.95627577,103.8107614,2.9997,4.02E+16
53.61119469,103.7391175,2.9997,4.07E+16
87.83803089,103.4478157,2.9997,4.11E+16
80.90997537,103.4421137,2.9997,4.20E+16
176.0315541,103.4223163,2.9997,1.43E+16
60.57274875,103.4208417,2.9997,4.35E+16
94.55257197,103.4014678,2.9997,4.06E+16
67.27836309,103.3972229,2.9997,4.34E+16
121.8273805,103.396612,2.9997,3.42E+16
115.1166463,103.39331,2.9997,3.61E+16
128.5294375,103.3795218,2.9997,3.22E+16
108.1894537,103.3734388,2.9997,3.80E+16
135.470432,103.3676687,2.9997,2.98E+16
101.2439021,103.3595155,2.9997,3.97E+16
142.3858087,103.3508081,2.9997,2.74E+16
73.96795361,103.3500437,2.9997,4.34E+16
169.4756678,103.3488097,2.9997,1.69E+16
162.6272708,103.3416717,2.9997,1.96E+16
149.073329,103.3403312,2.9997,2.49E+16
155.7317179,103.330129,2.9997,2.24E+16
182.6090186,103.3074257,2.9997,1.22E+16
201.892642,103.1784556,2.9997,6.19E+15
189.6028638,103.0935287,2.9997,1.02E+16
0,103.05152,2.9997,4.58E+16
196.2868588,102.9213249,2.9997,8.25E+15
208.8213594,102.7790004,2.9997,4.53E+15
13.799169,102.3161445,2.9997,5.39E+16
219.2554482,102.1950209,2.9997,1.90E+15
6.801637181,102.0471011,2.9997,5.59E+16
215.0650633,101.9222125,2.9997,3.25E+15
34.48353824,101.8459058,2.9997,5.81E+16
225,101.8147362,2.9997,6.88E+14
28.12140131,101.7950539,2.9997,5.86E+16
224.7754537,101.6647769,2.9997,7.38E+14
20.92504924,101.6004888,2.9997,6.02E+16
176.8450429,101.4998362,2.9997,1.96E+16
